Nhóm,Ý nghĩa ,Tên cột trong bảng,Khoảng dữ liệu
Quan hệ với ngân hàng VCB,Số dư bình quân tài khoản tiền gửi không kỳ hạn trong 12 tháng,AVG_BAL_TA_E12M,Số
Quan hệ với ngân hàng VCB,Số dư bình quân tài khoản tiền gửi tiết kiệm trong 12 tháng,AVG_BAL_TM_E12M,Số
Quan hệ với ngân hàng VCB,Số dư bình quân tài khoản vay trong 12 tháng,AVG_BAL_LN_E12M,Số
Quan hệ với ngân hàng VCB,Số dư tiền gửi không kỳ hạn,SODUTIENGUI,Số
Quan hệ với ngân hàng VCB,Số dư tiền gửi tiết kiệm,SODUTIETKIEM,Số
Quan hệ với ngân hàng VCB,Dư nợ vay,DUNOVAY,Số
Quan hệ với ngân hàng VCB,Nhóm nợ tại VCB,NHOMNOVCB,"1
2
3
4
5"
Quan hệ với ngân hàng VCB,Ngày đến hạn sổ tiết kiệm,MATDT,Ký tự
Quan hệ với ngân hàng VCB,Chi tiêu cho y tế trong 3 tháng gần đây,CHITIEUCHOYTE,Số
Quan hệ với ngân hàng VCB,Chi tiêu cho giáo dục trong 3 tháng gần đây,CHITIEUCHOGD,Số
Quan hệ với ngân hàng VCB,Chi tiêu cho du lịch trong 3 tháng gần đây,CHITIEUCHODULICH,Số
Quan hệ với ngân hàng VCB,Chi tiêu cho đầu tư chứng khoán trong 3 tháng gần đây,CHITIEUDAUTUCK,Số
Propensity Score model,Lý do khách hàng mua bảo hiểm,LYDOMUABAOHIEM,Ký tự
Propensity Score model,Điểm khả năng mua bảo hiểm của khách hàng theo dự đoán của mô hình,SCORE,Ký tự
Propensity Score model,Đã tiếp cận,DATIEPCAN,"0
1"
Propensity Score model,Khách hàng đã được liên hệ chưa ,DATIEPCAN,"Chưa tiếp cận
Đã tiếp cận"
Propensity Score model,Feedback của khách hàng,FEEDBACK,"Khác
Đồng ý gặp mặt
Từ chối"
Propensity Score model,Ghi chú về khách hàng,NOTE,ký tự
Propensity Score model,Nhân viên RM liên hệ khách hàng,RMTIEPCAN,ký tự
